,loss,accuracy,val_loss,val_accuracy,lr
0,0.2668742537498474,0.9754579663276672,0.6726959943771362,0.8819212913513184,1e-06
1,0.2733761966228485,0.9748708605766296,0.6890463829040527,0.885256826877594,1e-06
2,0.26688796281814575,0.9766322374343872,0.6850253939628601,0.8799199461936951,1e-06
3,0.2688053250312805,0.9773367643356323,0.6518047451972961,0.8965977430343628,1e-06
4,0.27159231901168823,0.9769845008850098,0.6978511214256287,0.885256826877594,1e-06
5,0.2681955099105835,0.9748708605766296,0.6707596182823181,0.8885924220085144,1e-06
6,0.2635517418384552,0.9802724123001099,0.6870704889297485,0.885256826877594,1e-06
7,0.26511991024017334,0.9767496585845947,0.6759231686592102,0.8872581720352173,1e-06
8,0.2623366713523865,0.9759276509284973,0.6743471622467041,0.8859239220619202,1e-06
9,0.25592318177223206,0.9779239296913147,0.6864103078842163,0.8819212913513184,1e-06
10,0.2602967321872711,0.9802724123001099,0.656374990940094,0.89192795753479,1e-06
11,0.254146546125412,0.9816815257072449,0.6667817831039429,0.8885924220085144,1e-06
12,0.25319549441337585,0.9798027276992798,0.6645303964614868,0.8899266123771667,1e-06
13,0.2554202675819397,0.9799201488494873,0.6786673665046692,0.8865910768508911,1e-06
14,0.25294890999794006,0.9792156219482422,0.644534170627594,0.897264838218689,1e-06
